auc,precision,recall,accuracy,model,sampling,rep
0.9120607480286612,0.8762317698068585,0.9178364987613542,0.8534285714285714,node_full,deg,9
0.9218412235399377,0.889871382636656,0.9141205615194055,0.8622857142857143,egoalter_basic,deg,9
0.9213521231629053,0.8824228028503563,0.9203137902559868,0.86,egoalter_full,deg,9
0.9160161319615657,0.87995337995338,0.9233591520587037,0.857959416976279,node_nonetwork,edge,9
0.9161014841934682,0.880248833592535,0.9229514879739095,0.857959416976279,node_basic,edge,9
0.9160422442882209,0.8814613291877186,0.924582144313086,0.8599599885681624,node_full,edge,9
0.9247224493518297,0.8903301886792453,0.9233591520587037,0.8665332952272078,egoalter_basic,edge,9
0.9232297596340845,0.8864168618266979,0.9258051365674684,0.864818519577022,egoalter_full,edge,9
0.9192389716943288,0.8876984126984127,0.9078733766233766,0.8542857142857143,node_nonetwork,node,10
0.9177315505440505,0.8855780691299165,0.9046266233766234,0.8505714285714285,node_basic,node,10
0.9155718798575941,0.8837762792542642,0.9042207792207793,0.8488571428571429,node_full,node,10
0.9290520953467382,0.8984406237504998,0.9119318181818182,0.8654285714285714,egoalter_basic,node,10
0.9250586828711829,0.8942731277533039,0.90625,0.8585714285714285,egoalter_full,node,10
0.9162592534117523,0.875,0.9191629052113254,0.8522857142857143,node_nonetwork,deg,10
0.9164951123920154,0.8792289535798584,0.9171112022979072,0.8545714285714285,node_basic,deg,10
0.9165738607258512,0.8786446020488574,0.9150594993844892,0.8528571428571429,node_full,deg,10
0.9248022895692042,0.8907060231352214,0.9162905211325401,0.8634285714285714,egoalter_basic,deg,10
0.9250840850775381,0.8846456692913386,0.9220352892901108,0.862,egoalter_full,deg,10
0.9185083275769438,0.8650306748466258,0.9306930693069307,0.8513861103172335,node_nonetwork,edge,10
0.9187190114360273,0.8667434715821812,0.9311056105610561,0.8531008859674193,node_basic,edge,10
0.9189032159029856,0.8662567255956957,0.9298679867986799,0.8519577022006287,node_full,edge,10
0.9277415764832297,0.8776142525174283,0.9348184818481848,0.8645327236353244,egoalter_basic,edge,10
0.927852866682017,0.8779542812863231,0.9348184818481848,0.864818519577022,egoalter_full,edge,10
0.926102792234854,0.8888888888888888,0.9259713701431492,0.8674285714285714,node_nonetwork,node,11
0.926640110875275,0.8905080740448995,0.9247443762781186,0.868,node_basic,node,11
0.9267304393335853,0.8918278720884327,0.9239263803680982,0.8685714285714285,node_full,node,11
0.9334066040570271,0.9017964071856287,0.9239263803680982,0.8765714285714286,egoalter_basic,node,11
0.9333073590556218,0.9025169796244507,0.9239263803680982,0.8771428571428571,egoalter_full,node,11
0.922884066303511,0.8948852194925493,0.9050916496945011,0.8588571428571429,node_nonetwork,deg,11
0.9240136816768825,0.9012244897959184,0.8993890020366598,0.8602857142857143,node_basic,deg,11
0.9238491897212017,0.8987755102040816,0.8969450101832994,0.8568571428571429,node_full,deg,11
0.9322468548709303,0.9097621000820345,0.9034623217922607,0.8694285714285714,egoalter_basic,deg,11
